appid,name,developer,publisher,positive,negative,owners,price,initialprice,discount,ccu
10,Counter-Strike,Valve,Valve,243818,6427,15000000.0,9.99,9.99,0,7323
20,Team Fortress Classic,Valve,Valve,7602,1136,1500000.0,4.99,4.99,0,66
30,Day of Defeat,Valve,Valve,6414,688,7500000.0,4.99,4.99,0,87
40,Deathmatch Classic,Valve,Valve,2618,545,7500000.0,4.99,4.99,0,7
50,Half-Life: Opposing Force,Gearbox Software,Valve,24363,1198,3500000.0,4.99,4.99,0,74
60,Ricochet,Valve,Valve,4989,1039,350000.0,4.99,4.99,0,4
70,Half-Life,Valve,Valve,143086,5135,15000000.0,9.99,9.99,0,634
80,Counter-Strike: Condition Zero,Valve,Valve,24271,2287,7500000.0,9.99,9.99,0,276
100,Counter-Strike: Condition Zero,Valve,Valve,13442,1535,15000000.0,9.99,9.99,0,83
130,Half-Life: Blue Shift,Gearbox Software,Valve,17384,1410,1500000.0,4.99,4.99,0,35
220,Half-Life 2,Valve,Valve,239721,5906,15000000.0,9.99,9.99,0,1555
240,Counter-Strike: Source,Valve,Valve,175426,6808,15000000.0,9.99,9.99,0,6187
280,Half-Life: Source,Valve,Valve,11068,4988,3500000.0,9.99,9.99,0,27
300,Day of Defeat: Source,Valve,Valve,20798,1891,3500000.0,9.99,9.99,0,238
320,Half-Life 2: Deathmatch,Valve,Valve,12962,1334,15000000.0,19.99,19.99,0,159
340,Half-Life 2: Lost Coast,Valve,Valve,12215,1471,35000000.0,19.99,19.99,0,2
360,Half-Life Deathmatch: Source,Valve,Valve,3657,1242,7500000.0,9.99,9.99,0,43
380,Half-Life 2: Episode One,Valve,Valve,30478,1344,7500000.0,19.99,19.99,0,18
400,Portal,Valve,Valve,175024,2717,15000000.0,9.99,9.99,0,638
420,Half-Life 2: Episode Two,Valve,Valve,40556,1226,7500000.0,19.99,19.99,0,20
440,Team Fortress 2,Valve,Valve,1044264,117208,75000000.0,0.0,0.0,0,43819
500,Left 4 Dead,Valve,Valve,59622,2272,7500000.0,9.99,9.99,0,774
550,Left 4 Dead 2,Valve,Valve,940221,23762,75000000.0,9.99,9.99,0,25122
620,Portal 2,Valve,Valve,427835,5675,7500000.0,9.99,9.99,0,1959
630,Alien Swarm,Valve,Valve,20179,1095,3500000.0,0.0,0.0,0,23
730,Counter-Strike: Global Offensive,Valve,Valve,7642084,1173003,150000000.0,0.0,0.0,0,1013936
1002,Rag Doll Kung Fu,Mark Healey,Mark Healey,91,30,35000.0,0.99,0.99,0,0
1200,Red Orchestra: Ostfront 41-45,Tripwire Interactive,Tripwire Interactive,2156,317,750000.0,4.99,4.99,0,1
1250,Killing Floor,Tripwire Interactive,Tripwire Interactive,64024,3448,3500000.0,19.99,19.99,0,224
1300,SiN Episodes: Emergence,Ritual Entertainment,"Atari, Nightdive Studios",1141,135,150000.0,9.99,9.99,0,0
